S.NO,Workflow Type,Workflow,DB schema work,Backend Work,UI work,
1,Resident,Login,Done - Supabase Auth built-in (auth.users / auth.identities),Done - Supabase Auth signInWithPassword (mobile calls Supabase directly; backend also has a redundant POST /auth/login used only by test scripts),Done - LoginScreen.js,
2,Resident,Logout,Done - Supabase Auth built-in,Done - Supabase Auth signOut,Done - Sign out link on DuesScreen.js / AdminReviewScreen.js,
3,Resident,View Billing Periods (All) -- Their Live Receipt view,Done - billing_periods table + resident-view RLS,Partial - GET /me returns only Open periods for the resident's own houses; no endpoint returns Closed/Waived history,Partial - DuesScreen.js shows only open dues to select/pay; no full history/receipt view,
4,Resident,View Transactions ( all ),Done - transactions table + RLS,"Partial - GET /houses/:houseId/transactions exists per-house only; no aggregated ""all my transactions"" endpoint",Not Built - no screen shows a resident's past transaction history,
5,Resident,Do Transection,Done - transactions + transaction_allocations (FIFO),Done - POST /transactions,Done - SubmitPaymentScreen.js,
,,,,,,
1,Admin,Login,Done - Supabase Auth built-in,Done - Supabase Auth signInWithPassword (shared with Resident login),Done - LoginScreen.js (shared) + ModeChooserScreen.js after login,
2,Admin,Logout,Done - Supabase Auth built-in,Done - Supabase Auth signOut,Done - Sign out link (shared screens),
3,Admin + Committee,view society,Done - societies table + RLS,Done - GET /society,Not Built,
4,Admin + Committee,view houses ,Done - houses table + RLS,Done - houses list embedded in GET /me for Admin/Committee (no standalone GET /houses list route),Not Built,
5,Admin + Committee,view members,Done - society_members table + RLS,Done - GET /members,Not Built,
6,Admin,create members,Done,Done - POST /members (creates auth.users + society_members; temp password returned if none supplied),Not Built,
7,Admin,"update members (for admin , committee members etc)",Done,Done - PATCH /members/:id (is_admin / is_committee_member / phone_number),Not Built,
8,Admin,approve members -- does this make sense?,Partial - status column supports an unused 'Invited' value,Not Built - POST /members creates members directly as Active; no invite/request-then-approve flow exists,Not Built,
9,Admin,suspend member,Done - status column made a real RLS gate,Done - POST /members/:id/suspend and /reactivate,Not Built,
10,Admin,create house-member linkage,Done - resident_house_assignments,Done - POST /assignments (lands as Pending; two-step create-then-approve by design),Not Built,
11,Admin + Committee,view house-member linkage,Done,Done - GET /assignments (also embedded in GET /members and GET /me),Not Built,
12,Admin,delete house -member linkage,Done,Done - POST /assignments/:id/revoke (soft-delete via status=Revoked, not a hard DB delete),Not Built
13,Admin,update linkage,Done,Done - POST /assignments/:id/reassign (revokes old row + creates new Active row),Not Built,
14,Admin,approve assignment,Done,Done - POST /assignments/:id/approve,Not Built,
15,Admin,create billing record for a house (next month or future months for advance payment),Done - billing_periods table,Partial - only auto-generated as a side effect of a payment covering more months than are currently Open; no direct admin-triggered create action,Not Built,
16,Admin,create billing record for all house (next month only),Done - table supports it,Not Built - no bulk monthly-generation job or endpoint exists,Not Built,
17,Admin + Committee,view billing records for a house (all months),Done,Partial - full data available via GET /me's billingPeriods array for Admin/Committee; no dedicated per-house filtered endpoint,Not Built,
18,Admin + Committee,view billing records for all house for a month (select month),Done,Partial - same GET /me billingPeriods array covers this; no month-filter endpoint,Not Built,
19,Admin,update billing  -- for waived (close is done when transaction is approved),Partial - 'Waived' is a valid status value in the CHECK constraint,Not Built - nothing ever sets a billing period to Waived,Not Built,
20,Admin + Committee,pay self maintenance,Done,Done - POST /transactions (same endpoint used by any resident),Done - DuesScreen.js + SubmitPaymentScreen.js when in Resident mode,
21,Admin,pay non maintenance - salary / expenses  (auto approved),Done - transaction_type / payee_name / nullable house_id + CHECK constraints,Done - POST /transactions non-Maintenance branch (Admin-only; auto-Verified at creation),Not Built - no screen lets an Admin record an expense,
22,Admin + Committee,view transactions -- report,Done,Partial - GET /transactions/pending (Submitted only) + per-house GET /houses/:houseId/transactions; no full all-status society-wide report,Partial - AdminReviewScreen.js shows only the Pending review queue,
23,Admin + Committee,view transaction for a house ,Done,Done - GET /houses/:houseId/transactions,Not Built - endpoint exists but no mobile screen calls it,
24,Admin + Committee,view transaction for a billing period,Done - transaction_allocations links transactions to billing periods,Partial - allocation data is embedded in GET /houses/:houseId/transactions; no dedicated by-billing-period endpoint,Not Built,
25,Admin,generate pendency report for a month,Partial - underlying billing_periods data exists,Not Built - no aggregated pendency-report endpoint,Not Built,
26,Admin,transaction approve,Done,Done - POST /transactions/:id/verify,Done - AdminReviewScreen.js Verify button,
27,Admin,transaction reject,Done,Done - POST /transactions/:id/reject,Done - AdminReviewScreen.js Reject flow (inline reason box),
28,Admin,upload bank statement,Not Built,Not Built,Not Built,
29,Admin,update society settings (name / UPI VPA / payee name / timezone),Done - societies table + RLS,Done - PATCH /society/:id,Not Built,
30,Admin + Committee,view audit log / activity history,Done - audit_events table + Admin/Committee SELECT RLS,Not Built - written to on every mutation (create/suspend/verify/reject/approve/revoke/reassign) but never read back by any endpoint,Not Built,
31,Admin + Committee,export transaction / billing statement (PDF or CSV),Done - underlying data exists across transactions / billing_periods,Not Built,Not Built,
,,,,,,
1,Automation,Auto Reconcile txn,Not Built,Not Built,N/A,
2,Automation,send dues reminder / notification (upcoming or overdue billing period),Partial - billing_periods (amount_due / period_month / status) already has everything needed to compute who is due,Not Built - no scheduled job or notification-send endpoint exists,N/A - a push/SMS/email trigger, not a screen
